Question,Sentence
HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,African immigration to the United States refers to immigrants to the United States who are or were nationals of Africa .
how large were early jails,"A prison (from Old French prisoun), also known as gaol or jail, is a place in which people are physically confined and usually deprived of a range of personal freedoms ."
how a water pump works,"A small, electrically powered pump"
how old was sue lyon when she made lolita,"Lolita is a 1962 comedy-drama film by Stanley Kubrick based on the classic novel of the same title by Vladimir Nabokov , centres around a middle-aged man who becomes obsessed with a teenage girl."
how are antibodies used in,Each antibody binds to a specific antigen ; an interaction similar to a lock and key.
how old is alicia in 2009,"Alicia Augello Cook (born January 25, 1981), known professionally as Alicia Keys, is an American R&B singer-songwriter , musician, record producer and actress."
how big is a land section generally,Sectioning a township .
how old was shakespeare's juliet,"Juliet is one of the title characters in William Shakespeare 's romantic love tragedy Romeo and Juliet , the other being Romeo ."
how are fire bricks made,Refractory bricks in a torpedo car used for hauling molten iron
HOW MUCH IS CENTAVOS IN MEXICO,The peso ( sign : $; code : MXN) is the currency of Mexico .
How long was Mickie James with WWE?,"Mickie Laree James (born August 31, 1979) is an American professional wrestler and singer , currently signed to Total Nonstop Action Wrestling (TNA), where she is a former two-time TNA Women's Knockout Champion ."
how can something taste good to one person,"Taste, gustatory perception, or gustation is one of the five traditional senses ."
Who was Bob Marley?,"Nesta Robert ""Bob"" Marley, OM (6 February 1945 – 11 May 1981) was a Jamaican singer-songwriter and musician."
how much was the production of willy wonka and the chocolate factory,"Willy Wonka & the Chocolate Factory is a 1971 musical film adaptation of the 1964 novel Charlie and the Chocolate Factory by Roald Dahl , directed by Mel Stuart , and starring Gene Wilder as Willy Wonka ."
how much is a ream of paper,"Although there are no S.I. units such as quires and bales, there are ISO and DIN standards for the ream."
how can i open a usda slaughterhouse,Slaughtering animals on a large scale poses significant logistical problems and public health requirements.
how close or far do you want to be to the standard deviation,A plot of a normal distribution (or bell-shaped curve) where each band has a width of 1 standard deviation – See also: 68-95-99.7 rule
how deadly are brain tumors,"A brain tumor, or tumour, is an intra cranial solid neoplasm , a tumor (defined as an abnormal growth of cells) within the brain or the central spinal canal ."
how tall is an indoor girls volleyball net,"But simply, play proceeds as follows: a player on one of the teams begins a 'rally' by serving the ball (tossing or releasing it and then hitting it with a hand or arm), from behind the back boundary line of the court, over the net, and into the receiving team's court."
how does interlibrary loan work,"The user makes a request with their local library, which, acting as an intermediary, identifies owners of the desired item, places the request, receives the item, makes it available to the user, and arranges for its return."
what bacteria grow on macconkey agar,MacConkey agar is a culture medium designed to grow Gram-negative bacteria and differentiate them for lactose fermentation .
how did harmon killebrew get strong,"Killebrew was a 6-foot tall, 195-pound hitter with a compact swing that generated tremendous power."
what happened to sean parker founder of napster,Sean Parker (born 1979) is an American entrepreneur who was a co-founder of the file-sharing computer service Napster and the first president of the social networking website Facebook .
How much did Waterboy grossed,"The movie was extremely profitable, earning $161.5 million in North America alone."
what ingredients are in rockstar recovery?,Rockstar (branded ROCKST★R) is an energy drink created in 2001.
how hard is it to weld a 2 inch schedule 80 pipe,Steel pipes
how hard is it to weld a 2 inch schedule 80 pipe,Plastic (PVC) pipes in USA
how hard is it to weld a 2 inch schedule 80 pipe,"A pipe is a tubular section or hollow cylinder , usually but not necessarily of circular cross-section , used mainly to convey substances which can flow — liquids and gases (fluids), slurries, powders, masses of small solids."
how is whooping cough distinguished from similar diseases,Pertussis — commonly called whooping cough ( or ) — is a highly contagious bacterial disease caused by Bordetella pertussis .
How Do You Play Spades,The object is to take at least the number of tricks that were bid before play of the hand began.
what causes heart disease,The causes of cardiovascular disease are diverse but atherosclerosis and/or hypertension are the most common.
what countries did immigrants come from during the immigration,With the ending of numerical restrictions in 1965 and the advent of cheap air travel immigration has increased from Asia and Latin America.